Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Ishan Kishan (MI),2024-2024,14,14,-,320,69,22.85,215,148.83,-,1,2,35,16
DJ Mitchell (CSK),2024-2024,13,13,2,318,63,28.90,223,142.6,-,2,-,27,10
K Nitish Kumar Reddy (SRH),2024-2024,13,11,2,303,76*,33.66,212,142.92,-,2,-,15,21
JM Bairstow (PBKS),2024-2024,11,11,1,298,108*,29.80,195,152.82,1,-,1,33,14
SM Curran (PBKS),2024-2024,13,12,2,270,63*,27.00,219,123.28,-,2,1,24,6
RA Jadeja (CSK),2024-2024,14,11,5,267,57*,44.50,187,142.78,-,1,-,22,8
C Green (RCB),2024-2024,13,12,4,255,46,31.87,178,143.25,-,-,-,22,10
Q de Kock (LSG),2024-2024,11,11,-,250,81,22.72,186,134.4,-,3,1,29,9
AM Rahane (CSK),2024-2024,13,12,-,242,45,20.16,196,123.46,-,-,-,23,7
TH David (MI),2024-2024,13,11,3,241,45*,30.12,152,158.55,-,-,1,14,15
AR Patel (DC),2024-2024,14,12,4,235,66,29.37,179,131.28,-,2,1,19,10
A Badoni (LSG),2024-2024,14,12,4,235,55*,29.37,171,137.42,-,2,1,22,5
WG Jacks (RCB),2024-2024,8,8,1,230,100*,32.85,131,175.57,1,1,-,16,18
AD Russell (KKR),2024-2024,15,9,2,222,64*,31.71,120,185.0,-,1,-,20,16
R Ravindra (CSK),2024-2024,10,10,-,222,61,22.20,138,160.86,-,1,1,22,12
AK Markram (SRH),2024-2024,11,11,2,220,50,24.44,177,124.29,-,1,1,18,4
HH Pandya (MI),2024-2024,14,13,1,216,46,18.00,151,143.04,-,-,1,17,11
Shahbaz Ahmed (SRH),2024-2024,16,12,3,215,59*,23.88,166,129.51,-,1,1,7,13
RR Rossouw (PBKS),2024-2024,8,8,-,211,61,26.37,116,181.89,-,1,1,25,11
DA Miller (GT),2024-2024,9,9,3,210,55,35.00,139,151.07,-,1,-,20,8
PP Shaw (DC),2024-2024,8,8,-,198,66,24.75,121,163.63,-,1,-,30,5
DC Jurel (RR),2024-2024,15,11,3,195,56*,24.37,141,138.29,-,2,1,18,7
AR Sharma (PBKS),2024-2024,11,9,2,189,61,27.00,113,167.25,-,1,-,10,15
R Tewatia (GT),2024-2024,12,9,2,188,36*,26.85,129,145.73,-,-,-,24,5
JM Sharma (PBKS),2024-2024,14,12,1,187,32*,17.00,142,131.69,-,-,1,9,12
SD Hope (DC),2024-2024,9,9,1,183,41,22.87,122,150.0,-,-,-,12,12
Abdul Samad (SRH),2024-2024,16,12,2,182,37*,18.20,108,168.51,-,-,1,15,11
DA Warner (DC),2024-2024,8,8,-,168,52,21.00,125,134.4,-,1,-,17,10
RK Singh (KKR),2024-2024,15,11,2,168,26,18.66,113,148.67,-,-,-,13,8
RA Tripathi (SRH),2024-2024,6,6,-,165,55,27.50,115,143.47,-,1,-,18,6
A Raghuvanshi (KKR),2024-2024,10,7,-,163,54,23.28,105,155.23,-,1,-,16,8
MS Dhoni (CSK),2024-2024,14,11,8,161,37*,53.66,73,220.54,-,-,1,14,13
S Dhawan (PBKS),2024-2024,5,5,-,152,70,30.40,121,125.61,-,1,-,18,4
DJ Hooda (LSG),2024-2024,11,9,1,145,50,18.12,105,138.09,-,1,1,16,3
Naman Dhir (MI),2024-2024,7,7,1,140,62*,23.33,79,177.21,-,1,2,12,10
WP Saha (GT),2024-2024,9,9,-,136,39,15.11,115,118.26,-,-,-,18,3
PJ Cummins (SRH),2024-2024,16,10,4,136,35*,22.66,95,143.15,-,-,-,9,8
KH Pandya (LSG),2024-2024,14,12,8,133,43*,33.25,105,126.66,-,-,-,8,5
MM Ali (CSK),2024-2024,8,5,-,128,56,25.60,98,130.61,-,1,-,7,8
M Shahrukh Khan (GT),2024-2024,7,7,-,127,58,18.14,75,169.33,-,1,1,9,9
Ramandeep Singh (KKR),2024-2024,15,9,5,125,35,31.25,62,201.61,-,-,-,5,12
MK Lomror (RCB),2024-2024,10,10,2,125,33,15.62,68,183.82,-,-,2,9,9
SO Hetmyer (RR),2024-2024,12,9,4,113,27*,22.60,69,163.76,-,-,1,9,7
LS Livingstone (PBKS),2024-2024,7,7,2,111,38*,22.20,78,142.3,-,-,1,8,7
N Wadhera (MI),2024-2024,6,6,-,109,49,18.16,84,129.76,-,-,-,9,6
R Powell (RR),2024-2024,10,7,1,103,27,17.16,68,151.47,-,-,-,10,6
Rashid Khan (GT),2024-2024,12,8,3,102,31,20.40,71,143.66,-,-,1,11,3
Anuj Rawat (RCB),2024-2024,5,5,1,98,48,24.50,77,127.27,-,-,-,10,3
R Ashwin (RR),2024-2024,15,9,3,86,29,14.33,74,116.21,-,-,1,5,4
Arshad Khan (LSG),2024-2024,4,4,2,83,58*,41.50,54,153.7,-,1,1,6,5
V Shankar (GT),2024-2024,7,7,2,83,17,16.60,72,115.27,-,-,-,7,2
Harpreet Brar (PBKS),2024-2024,13,7,5,75,29,37.50,54,138.88,-,-,-,8,2
D Brevis (MI),2024-2024,3,3,-,69,46,23.00,59,116.94,-,-,1,3,5
MA Agarwal (SRH),2024-2024,4,4,-,64,32,16.00,57,112.28,-,-,-,8,1
Rahmanullah Gurbaz (KKR),2024-2024,3,2,-,62,39,31.00,46,134.78,-,-,-,7,4
A Taide (PBKS),2024-2024,2,2,-,61,46,30.50,39,156.41,-,-,-,7,2
MR Marsh (DC),2024-2024,4,4,-,61,23,15.25,38,160.52,-,-,1,9,3
R Shepherd (MI),2024-2024,6,5,3,57,39*,28.50,21,271.42,-,-,-,5,5
GJ Maxwell (RCB),2024-2024,10,9,-,52,28,5.77,43,120.93,-,-,4,6,2
Sameer Rizvi (CSK),2024-2024,8,5,1,51,21,12.75,43,118.6,-,-,1,4,2
T Kohler-Cadmore (RR),2024-2024,4,3,-,48,20,16.00,54,88.88,-,-,-,7,1
Kuldeep Yadav (DC),2024-2024,11,5,2,47,35*,15.66,41,114.63,-,-,1,6,1
Sikandar Raza (PBKS),2024-2024,2,2,-,43,28,21.50,38,113.15,-,-,-,2,2
MK Pandey (KKR),2024-2024,1,1,-,42,42,42.00,31,135.48,-,-,-,2,2
N Rana (KKR),2024-2024,2,2,-,42,33,21.00,34,123.52,-,-,-,5,1
Azmatullah Omarzai (GT),2024-2024,7,4,-,42,17,10.50,33,127.27,-,-,-,2,2
D Padikkal (LSG),2024-2024,7,7,-,38,13,5.42,53,71.69,-,-,2,3,0
Swapnil Singh (RCB),2024-2024,7,5,3,37,15*,18.50,21,176.19,-,-,1,3,3
Mohammad Nabi (MI),2024-2024,7,5,1,35,23,8.75,31,112.9,-,-,1,2,2
SB Dubey (RR),2024-2024,4,3,1,33,25,16.50,19,173.68,-,-,1,3,2
KV Sharma (RCB),2024-2024,9,3,-,31,20,10.33,15,206.66,-,-,-,2,3
Rasikh Salam (DC),2024-2024,8,4,-,28,10,7.00,30,93.33,-,-,-,4,0
KS Williamson (GT),2024-2024,2,2,-,27,26,13.50,27,100.0,-,-,-,4,0
Harpreet Singh (PBKS),2024-2024,2,2,-,27,14,13.50,34,79.41,-,-,-,2,0
SS Prabhudessai (RCB),2024-2024,1,1,-,24,24,24.00,18,133.33,-,-,-,3,0
TK Kotian (RR),2024-2024,1,1,-,24,24,24.00,31,77.41,-,-,-,3,0
JD Unadkat (SRH),2024-2024,11,5,2,24,8*,8.00,26,92.3,-,-,-,2,1
B Kumar (SRH),2024-2024,16,5,2,23,13,7.66,29,79.31,-,-,1,3,0
AJ Turner (LSG),2024-2024,2,2,-,21,16,10.50,18,116.66,-,-,-,0,2
RD Chahar (PBKS),2024-2024,9,2,1,21,16,21.00,15,140.0,-,-,-,3,1
Yudhvir Singh (LSG),2024-2024,2,2,-,21,14,10.50,14,150.0,-,-,-,1,2
SN Thakur (CSK),2024-2024,9,3,2,21,17,21.00,17,123.52,-,-,-,2,1
K Rabada (PBKS),2024-2024,11,3,2,20,11*,20.00,14,142.85,-,-,-,0,2
Gulbadin Naib (DC),2024-2024,2,1,-,19,19,19.00,15,126.66,-,-,-,1,1
M Jansen (SRH),2024-2024,3,2,1,18,17,18.00,13,138.46,-,-,-,1,1
Sumit Kumar (DC),2024-2024,4,3,1,18,9*,9.00,24,75.0,-,-,-,2,1
SD Chauhan (RCB),2024-2024,3,3,-,18,9,6.00,15,120.0,-,-,1,1,1
PP Chawla (MI),2024-2024,11,6,2,15,10,3.75,15,100.0,-,-,2,1,1
MJ Santner (CSK),2024-2024,3,3,-,14,11,4.66,17,82.35,-,-,1,1,0
Sanvir Singh (SRH),2024-2024,4,3,2,14,8*,14.00,12,116.66,-,-,1,1,0
TA Boult (RR),2024-2024,16,5,3,14,12,7.00,16,87.5,-,-,1,2,0
G Coetzee (MI),2024-2024,10,5,1,14,8,3.50,22,63.63,-,-,1,0,1
R Sai Kishore (GT),2024-2024,5,2,1,13,13,13.00,6,216.66,-,-,-,0,2
HV Patel (PBKS),2024-2024,14,4,1,13,12,4.33,19,68.42,-,-,2,1,1
DG Nalkande (GT),2024-2024,3,1,-,12,12,12.00,11,109.09,-,-,-,0,1
UT Yadav (GT),2024-2024,7,2,1,12,10*,12.00,15,80.0,-,-,-,0,1
Mohammed Siraj (RCB),2024-2024,14,3,1,12,12,6.00,8,150.0,-,-,1,0,2
JJ Bumrah (MI),2024-2024,13,4,4,12,8*,-,12,100.0,-,-,-,1,0
Lalit Yadav (DC),2024-2024,2,2,-,10,7,5.00,12,83.33,-,-,-,1,0
Avesh Khan (RR),2024-2024,16,3,3,10,7*,-,5,200.0,-,-,-,1,0
L Wood (MI),2024-2024,2,1,1,9,9*,-,3,300.0,-,-,-,0,1
A Manohar (GT),2024-2024,2,2,-,9,8,4.50,16,56.25,-,-,-,1,0
AA Kulkarni (LSG),2024-2024,2,2,-,9,9,4.50,8,112.5,-,-,1,2,0
MA Starc (KKR),2024-2024,14,5,3,9,6*,4.50,11,81.81,-,-,2,1,0
D Ferreira (RR),2024-2024,2,2,-,8,7,4.00,11,72.72,-,-,-,0,0
V Viyaskanth (SRH),2024-2024,3,1,1,7,7*,-,5,140.0,-,-,-,0,0
SH Johnson (GT),2024-2024,5,3,3,6,5*,-,7,85.71,-,-,-,1,0
Anmolpreet Singh (SRH),2024-2024,2,2,-,5,5,2.50,6,83.33,-,-,1,1,0
Noor Ahmad (GT),2024-2024,10,4,2,5,4,2.50,9,55.55,-,-,-,1,0
MS Wade (GT),2024-2024,2,1,-,4,4,4.00,6,66.66,-,-,-,0,0
Arshdeep Singh (PBKS),2024-2024,14,1,-,4,4,4.00,3,133.33,-,-,-,1,0
A Madhwal (MI),2024-2024,5,1,1,4,4*,-,5,80.0,-,-,-,0,0
A Nortje (DC),2024-2024,6,2,-,4,4,2.00,8,50.0,-,-,1,0,0
Ravi Bishnoi (LSG),2024-2024,14,3,-,4,2,1.33,6,66.66,-,-,1,0,0
RJW Topley (RCB),2024-2024,4,1,1,3,3*,-,6,50.0,-,-,-,0,0
AS Roy (KKR),2024-2024,4,1,1,3,3*,-,3,100.0,-,-,-,0,0
RK Bhui (DC),2024-2024,2,2,-,3,3,1.50,9,33.33,-,-,1,0,0
Mukesh Kumar (DC),2024-2024,10,2,1,3,3,3.00,9,33.33,-,-,-,0,0
K Kushagra (DC),2024-2024,4,3,-,3,2,1.00,7,42.85,-,-,1,0,0
