Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SN Thakur (LSG),2025-2025,5,3,2,8,5*,8.00,7,114.28,-,-,1,1,0
M Theekshana (RR),2025-2025,5,3,2,8,5,8.00,18,44.44,-,-,-,0,0
K Rabada (GT),2025-2025,2,1,1,7,7*,-,5,140.00,-,-,-,0,1
DJ Hooda (CSK),2025-2025,2,2,-,7,4,3.50,14,50.00,-,-,-,1,0
Sandeep Sharma (RR),2025-2025,5,1,1,6,6*,-,5,120.00,-,-,-,0,0
R Minz (MI),2025-2025,2,2,-,6,3,3.00,15,40.00,-,-,-,0,0
A Manohar (SRH),2025-2025,3,3,-,6,4,2.00,13,46.15,-,-,1,0,0
TU Deshpande (RR),2025-2025,4,3,2,6,3,6.00,6,100.00,-,-,-,0,0
MM Ali (KKR),2025-2025,2,1,-,5,5,5.00,12,41.66,-,-,-,0,0
Kuldeep Yadav (DC),2025-2025,3,1,-,5,5,5.00,5,100.00,-,-,-,1,0
KH Pandya (RCB),2025-2025,4,2,-,5,5,2.50,8,62.50,-,-,1,1,0
LH Ferguson (PBKS),2025-2025,3,1,1,4,4*,-,1,400.00,-,-,-,1,0
Simarjeet Singh (SRH),2025-2025,4,3,1,3,3*,1.50,7,42.85,-,-,2,0,0
MA Starc (DC),2025-2025,3,1,-,2,2,2.00,5,40.00,-,-,-,0,0
Suryansh Shedge (PBKS),2025-2025,3,1,-,2,2,2.00,4,50.00,-,-,-,0,0
TA Boult (MI),2025-2025,5,2,1,2,1*,2.00,3,66.66,-,-,-,0,0
Avesh Khan (LSG),2025-2025,4,2,2,2,2*,-,1,200.00,-,-,-,0,0
SH Johnson (KKR),2025-2025,4,2,2,2,1*,-,4,50.00,-,-,-,0,0
MM Sharma (DC),2025-2025,3,1,1,1,1*,-,2,50.00,-,-,-,0,0
R Sai Kishore (GT),2025-2025,5,1,-,1,1,1.00,1,100.00,-,-,-,0,0
Arshdeep Singh (PBKS),2025-2025,4,1,-,1,1,1.00,5,20.00,-,-,-,0,0
K Kartikeya (RR),2025-2025,2,1,-,1,1,1.00,1,100.00,-,-,-,0,0
PVSN Raju (MI),2025-2025,2,1,1,1,1*,-,1,100.00,-,-,-,0,0
B Kumar (RCB),2025-2025,3,2,2,1,1*,-,4,25.00,-,-,-,0,0
Arshad Khan (GT),2025-2025,3,2,2,1,1*,-,1,100.00,-,-,-,0,0
JJ Bumrah (MI),2025-2025,1,1,1,-,0*,-,1,-,-,-,-,0,0
Ravi Bishnoi (LSG),2025-2025,5,1,-,-,-,-,2,-,-,-,1,0,0
Akash Deep (LSG),2025-2025,2,1,-,-,-,-,1,-,-,-,1,0,0
Noor Ahmad (CSK),2025-2025,5,1,1,-,0*,-,2,-,-,-,-,0,0
DS Rathi (LSG),2025-2025,5,1,1,-,0*,-,0,-,-,-,-,0,0
