State,District,Date,Year,Month,Avg_rainfall,Agency_name
Bihar,Katihar,2020-03-28,2020,03,0.0,NRSC VIC MODEL
Bihar,Katihar,2020-03-30,2020,03,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-10-24,2020,10,0.017154126,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-02,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-07,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-12,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-13,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-16,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-17,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-23,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-25,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-11-29,2020,11,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-12-20,2020,12,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-12-21,2020,12,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-12-22,2020,12,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-12-27,2020,12,0.0,NRSC VIC MODEL
Bihar,Lakhisarai,2020-12-29,2020,12,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-04,2020,01,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-11,2020,01,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-12,2020,01,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-15,2020,01,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-18,2020,01,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-23,2020,01,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-01-29,2020,01,0.170142834,NRSC VIC MODEL
Bihar,Madhepura,2020-02-06,2020,02,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-02-27,2020,02,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-03-03,2020,03,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-03-04,2020,03,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-03-12,2020,03,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-03-15,2020,03,2.929421759,NRSC VIC MODEL
Bihar,Madhepura,2020-03-16,2020,03,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-03-21,2020,03,8.739657428,NRSC VIC MODEL
Bihar,Madhepura,2020-03-29,2020,03,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-03-30,2020,03,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-04-09,2020,04,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-04-13,2020,04,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-04-18,2020,04,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-04-22,2020,04,0.562892409,NRSC VIC MODEL
Bihar,Madhepura,2020-04-24,2020,04,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-05-04,2020,05,5.614498437,NRSC VIC MODEL
Bihar,Madhepura,2020-05-20,2020,05,20.4924177,NRSC VIC MODEL
Bihar,Madhepura,2020-05-21,2020,05,0.128586503,NRSC VIC MODEL
Bihar,Madhepura,2020-06-04,2020,06,9.411395162,NRSC VIC MODEL
Bihar,Madhepura,2020-06-16,2020,06,7.517885934,NRSC VIC MODEL
Bihar,Madhepura,2020-06-19,2020,06,4.43227075,NRSC VIC MODEL
Bihar,Madhepura,2020-06-20,2020,06,0.81021787,NRSC VIC MODEL
Bihar,Madhepura,2020-06-22,2020,06,1.226472505,NRSC VIC MODEL
Bihar,Madhepura,2020-06-29,2020,06,3.273117964,NRSC VIC MODEL
Bihar,Madhepura,2020-07-02,2020,07,25.45794605,NRSC VIC MODEL
Bihar,Madhepura,2020-07-03,2020,07,48.70613996,NRSC VIC MODEL
Bihar,Madhepura,2020-07-08,2020,07,11.55994197,NRSC VIC MODEL
Bihar,Madhepura,2020-07-15,2020,07,0.341084532,NRSC VIC MODEL
Bihar,Madhepura,2020-07-17,2020,07,5.296319815,NRSC VIC MODEL
Bihar,Madhepura,2020-07-27,2020,07,38.14258208,NRSC VIC MODEL
Bihar,Madhepura,2020-07-29,2020,07,43.99901364,NRSC VIC MODEL
Bihar,Madhepura,2020-08-02,2020,08,2.808654913,NRSC VIC MODEL
Bihar,Madhepura,2020-08-07,2020,08,0.213358345,NRSC VIC MODEL
Bihar,Madhepura,2020-08-20,2020,08,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-08-27,2020,08,0.365111927,NRSC VIC MODEL
Bihar,Madhepura,2020-09-03,2020,09,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-09-13,2020,09,61.28802968,NRSC VIC MODEL
Bihar,Madhepura,2020-09-17,2020,09,8.634760338,NRSC VIC MODEL
Bihar,Madhepura,2020-09-19,2020,09,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-09-29,2020,09,0.104190402,NRSC VIC MODEL
Bihar,Madhepura,2020-10-07,2020,10,2.671526702,NRSC VIC MODEL
Bihar,Madhepura,2020-10-12,2020,10,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-10-14,2020,10,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-10-16,2020,10,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-10-18,2020,10,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-10-21,2020,10,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-10-28,2020,10,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-11-03,2020,11,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-11-08,2020,11,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-11-10,2020,11,0.0,NRSC VIC MODEL
Bihar,Madhepura,2020-11-18,2020,11,0.0,NRSC VIC MODEL
