State,District,Date,Year,Month,Avg_rainfall,Agency_name
West Bengal,Paschim Barddhaman,2022-10-13,2022,10,17.9995057,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-01-04,2022,01,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-01-07,2022,01,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-01-18,2022,01,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-01-21,2022,01,9.18e-05,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-01-26,2022,01,0.187588482,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-02-02,2022,02,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-02-04,2022,02,18.67793101,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-02-18,2022,02,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-02-23,2022,02,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-02-24,2022,02,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-02-26,2022,02,0.392000692,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-03-12,2022,03,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-03-19,2022,03,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-03-27,2022,03,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-03-31,2022,03,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-04-03,2022,04,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-04-07,2022,04,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-04-15,2022,04,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-04-19,2022,04,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-04-25,2022,04,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-04-28,2022,04,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-05-10,2022,05,4.595252133,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-05-11,2022,05,11.91920868,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-05-21,2022,05,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-05-23,2022,05,0.205029678,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-05-28,2022,05,2.208598125,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-06-06,2022,06,0.0,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-06-26,2022,06,1.421565801,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-06-27,2022,06,1.771138501,IMD GRID MODEL
West Bengal,Paschim Bardhaman,2022-06-28,2022,06,0.0,IMD GRID MODEL
